travel_time,id,kind,action,origin,destination,start_time,reward,reward_right,cost_table
0.6666666666666666,0,Human,0,0,0,27,-0.6666666666666666,-0.6666666666666666,"-0.6666421871180109,-0.7111274666666668"
0.8833333333333333,1,Human,0,0,0,40,-0.8833333333333333,-0.8833333333333333,"-0.8835219827735837,0.0"
0.7333333333333333,2,Human,0,0,0,31,-0.7333333333333333,-0.7333333333333333,"-0.7333205260978113,-0.7720106666666668"
0.55,3,Human,0,0,0,3,-0.55,-0.55,"-0.5499937201101522,0.0"
0.8166666666666667,4,Human,0,0,0,37,-0.8166666666666667,-0.8166666666666667,"-0.816816523628205,-0.9033627733333334"
0.6666666666666666,5,Human,0,0,0,28,-0.6666666666666666,-0.6666666666666666,"-0.6666522448374569,-0.7067584000000002"
0.48333333333333334,6,Human,0,0,0,9,-0.48333333333333334,-0.48333333333333334,"-0.48332781464225505,0.0"
0.7833333333333333,7,Human,0,0,0,36,-0.7833333333333333,-0.7833333333333333,"-0.7834622842701973,0.0"
0.6,8,Human,0,0,0,22,-0.6,-0.6,"-0.599989042990818,0.0"
0.5833333333333334,9,Human,0,0,0,25,-0.5833333333333334,-0.5833333333333334,"-0.5833246785782811,-0.5918826666666668"
0.8833333333333333,10,Human,0,0,0,39,-0.8833333333333333,-0.8833333333333333,"-0.8833746115689077,-0.9403950933333335"
0.85,11,Human,0,0,0,38,-0.85,-0.85,"-0.8501602368374582,-0.9650284800000002"
0.4666666666666667,12,Human,0,0,0,2,-0.4666666666666667,-0.4666666666666667,"-0.46666133827528067,0.0"
0.5,13,Human,0,0,0,18,-0.5,-0.5,"-0.4999942910092293,0.0"
0.6,14,Human,0,0,0,20,-0.6,-0.6,"-0.5999758982676278,-0.6117546666666668"
0.7,15,Human,0,0,0,29,-0.7,-0.7,"-0.6999817005350539,-0.7240202666666666"
0.4666666666666667,16,Human,0,0,0,16,-0.4666666666666667,-0.4666666666666667,"-0.46665040570662614,-0.5042400000000001"
0.7666666666666667,17,Human,0,0,0,32,-0.7666666666666667,-0.7666666666666667,"-0.7667716899074692,0.0"
0.6166666666666667,18,Human,0,0,0,26,-0.6166666666666667,-0.6166666666666667,"-0.6166747049202699,0.0"
0.7166666666666667,19,Human,0,0,0,30,-0.7166666666666667,-0.7166666666666667,"-0.7166461261099255,-0.7575797333333334"
