travel_time,id,kind,action,origin,destination,start_time,reward,reward_right,cost_table
0.6666666666666666,0,Human,0,0,0,14,-0.6666666666666666,-0.6666666666666666,"-0.6706354289251272,0.0"
0.4666666666666667,1,Human,0,0,0,1,-0.4666666666666667,-0.4666666666666667,"-0.4655383359016931,0.0"
0.65,2,Human,0,0,0,10,-0.65,-0.65,"-0.6452038465408356,-0.6451093333333335"
0.55,3,Human,0,0,0,6,-0.55,-0.55,"-0.5486701815984241,0.0"
0.5666666666666667,4,Human,0,0,0,8,-0.5666666666666667,-0.5666666666666667,"-0.5624854046766259,-0.5765333333333333"
0.65,5,Human,0,0,0,18,-0.65,-0.65,"-0.6517524462626432,-0.6925056"
0.55,6,Human,0,0,0,5,-0.55,-0.55,"-0.5472562234914067,0.0"
0.5166666666666667,7,Human,0,0,0,2,-0.5166666666666667,-0.5166666666666667,"-0.5128543395581003,-0.5714720000000001"
0.6333333333333333,8,Human,0,0,0,13,-0.6333333333333333,-0.6333333333333333,"-0.6369589138070619,0.0"
0.6666666666666666,9,Human,0,0,0,20,-0.6666666666666666,-0.6666666666666666,"-0.6639384846686635,-0.6689866666666667"
