travel_time,id,kind,action,origin,destination,start_time,reward,reward_right,cost_table
0.65,0,Human,0,0,0,12,-0.65,-0.65,"-0.6500000250872014,0.0"
0.65,1,Human,0,0,0,35,-0.65,-0.65,"-0.6500088318699566,-0.74289856"
0.55,2,Human,0,0,0,7,-0.55,-0.55,"-0.5499985383058769,0.0"
0.7,3,Human,0,0,0,44,-0.7,-0.7,"-0.7000024117315784,-0.8131781120000001"
0.6333333333333333,4,Human,0,0,0,28,-0.6333333333333333,-0.6333333333333333,"-0.6333391840078327,-0.6746613333333333"
0.4666666666666667,5,Human,0,0,0,3,-0.4666666666666667,-0.4666666666666667,"-0.4666663737352524,0.0"
0.7333333333333333,6,Human,0,0,0,40,-0.7333333333333333,-0.7333333333333333,"-0.7333370356866156,0.0"
0.6833333333333333,7,Human,0,0,0,22,-0.6833333333333333,-0.6833333333333333,"-0.6833349030887862,0.0"
0.6666666666666666,8,Human,0,0,0,49,-0.6666666666666666,-0.6666666666666666,"-0.666672675904096,-0.75179456"
0.6333333333333333,9,Human,0,0,0,18,-0.6333333333333333,-0.6333333333333333,"-0.6333371100421071,0.0"
0.5666666666666667,10,Human,0,0,0,10,-0.5666666666666667,-0.5666666666666667,"-0.566665581148992,-0.5714720000000001"
0.6833333333333333,11,Human,0,0,0,50,-0.6833333333333333,-0.6833333333333333,"-0.6833373119440128,-0.7181339733333335"
0.6333333333333333,12,Human,0,0,0,15,-0.6333333333333333,-0.6333333333333333,"-0.6333351812276927,-0.6781474133333335"
0.65,13,Human,0,0,0,20,-0.65,-0.65,"-0.6500006618781149,-0.6842922666666668"
0.65,14,Human,0,0,0,25,-0.65,-0.65,"-0.6500065900543448,0.0"
0.65,15,Human,0,0,0,30,-0.65,-0.65,"-0.6500040229244095,-0.6911232"
0.5,16,Human,0,0,0,5,-0.5,-0.5,"-0.4999996861449133,0.0"
0.65,17,Human,0,0,0,32,-0.65,-0.65,"-0.6500075533136197,0.0"
0.55,18,Human,0,0,0,8,-0.55,-0.55,"-0.5499986830116447,-0.5902848000000002"
0.6833333333333333,19,Human,0,0,0,38,-0.6833333333333333,-0.6833333333333333,"-0.6833382010861129,0.0"
