travel_time,id,kind,action,origin,destination,start_time,reward,reward_right,cost_table
0.6666666666666666,0,Human,0,0,0,14,-0.6666666666666666,-0.6666666666666666,"-0.6740815001088883,0.0"
0.4666666666666667,1,Human,0,0,0,1,-0.4666666666666667,-0.4666666666666667,"-0.4632232744395743,-0.47062400000000004"
0.65,2,Human,0,0,0,10,-0.65,-0.65,"-0.6510494074097477,-0.6967195733333333"
0.55,3,Human,0,0,0,6,-0.55,-0.55,"-0.5492086021334007,-0.5815082666666667"
0.5666666666666667,4,Human,0,0,0,8,-0.5666666666666667,-0.5666666666666667,"-0.5665548706699794,-0.5728629333333335"
0.65,5,Human,0,0,0,18,-0.65,-0.65,"-0.6581276397168747,-0.7088298666666669"
0.55,6,Human,0,0,0,5,-0.55,-0.55,"-0.5462581284196136,0.0"
0.5166666666666667,7,Human,0,0,0,2,-0.5166666666666667,-0.5166666666666667,"-0.5128543395581003,-0.5123733333333335"
0.6333333333333333,8,Human,0,0,0,13,-0.6333333333333333,-0.6333333333333333,"-0.6407338097281317,0.0"
0.6666666666666666,9,Human,0,0,0,20,-0.6666666666666666,-0.6666666666666666,"-0.6815570870017293,0.0"
