travel_time,id,kind,action,origin,destination,start_time,reward,reward_right
0.48333333333333334,0,Human,0,0,0,12,-0.48333333333333334,-0.48333333333333334
0.9333333333333333,1,Human,1,0,0,35,-0.9333333333333333,-0.9333333333333333
0.95,2,Human,1,0,0,7,-0.95,-0.95
0.9666666666666667,3,Human,1,0,0,44,-0.9666666666666667,-0.9666666666666667
1.0166666666666666,4,Human,1,0,0,28,-1.0166666666666666,-1.0166666666666666
0.4666666666666667,5,Human,0,0,0,3,-0.4666666666666667,-0.4666666666666667
0.9833333333333333,6,Human,1,0,0,40,-0.9833333333333333,-0.9833333333333333
0.8833333333333333,7,Human,1,0,0,22,-0.8833333333333333,-0.8833333333333333
0.5333333333333333,8,Human,0,0,0,49,-0.5333333333333333,-0.5333333333333333
0.4666666666666667,9,Human,0,0,0,18,-0.4666666666666667,-0.4666666666666667
